name,region,url_jsdelivr,url_raw
astrocde,default,https://cdn.jsdelivr.net/gh/CkauNui/ckau-book-addons-Colorful-4K-Images@main/ckau-book-addons/_inc/anim/4K/astrocde.png,https://raw.githubusercontent.com/CkauNui/ckau-book-addons-Colorful-4K-Images/main/ckau-book-addons/_inc/anim/4K/astrocde.png
atari,default,https://cdn.jsdelivr.net/gh/CkauNui/ckau-book-addons-Colorful-4K-Images@main/ckau-book-addons/_inc/anim/4K/atari.png,https://raw.githubusercontent.com/CkauNui/ckau-book-addons-Colorful-4K-Images/main/ckau-book-addons/_inc/anim/4K/atari.png
atari2600,default,https://cdn.jsdelivr.net/gh/CkauNui/ckau-book-addons-Colorful-4K-Images@main/ckau-book-addons/_inc/anim/4K/atari2600.png,https://raw.githubusercontent.com/CkauNui/ckau-book-addons-Colorful-4K-Images/main/ckau-book-addons/_inc/anim/4K/atari2600.png
atari5200,default,https://cdn.jsdelivr.net/gh/CkauNui/ckau-book-addons-Colorful-4K-Images@main/ckau-book-addons/_inc/anim/4K/atari5200.png,https://raw.githubusercontent.com/CkauNui/ckau-book-addons-Colorful-4K-Images/main/ckau-book-addons/_inc/anim/4K/atari5200.png
atari7800-us,default,https://cdn.jsdelivr.net/gh/CkauNui/ckau-book-addons-Colorful-4K-Images@main/ckau-book-addons/_inc/anim/4K/atari7800-us.png,https://raw.githubusercontent.com/CkauNui/ckau-book-addons-Colorful-4K-Images/main/ckau-book-addons/_inc/anim/4K/atari7800-us.png
atari7800,default,https://cdn.jsdelivr.net/gh/CkauNui/ckau-book-addons-Colorful-4K-Images@main/ckau-book-addons/_inc/anim/4K/atari7800.png,https://raw.githubusercontent.com/CkauNui/ckau-book-addons-Colorful-4K-Images/main/ckau-book-addons/_inc/anim/4K/atari7800.png
atari800,default,https://cdn.jsdelivr.net/gh/CkauNui/ckau-book-addons-Colorful-4K-Images@main/ckau-book-addons/_inc/anim/4K/atari800.png,https://raw.githubusercontent.com/CkauNui/ckau-book-addons-Colorful-4K-Images/main/ckau-book-addons/_inc/anim/4K/atari800.png
atari800_v4,default,https://cdn.jsdelivr.net/gh/CkauNui/ckau-book-addons-Colorful-4K-Images@main/ckau-book-addons/_inc/anim/4K/atari800_v4.png,https://raw.githubusercontent.com/CkauNui/ckau-book-addons-Colorful-4K-Images/main/ckau-book-addons/_inc/anim/4K/atari800_v4.png
atarijaguar,default,https://cdn.jsdelivr.net/gh/CkauNui/ckau-book-addons-Colorful-4K-Images@main/ckau-book-addons/_inc/anim/4K/atarijaguar.png,https://raw.githubusercontent.com/CkauNui/ckau-book-addons-Colorful-4K-Images/main/ckau-book-addons/_inc/anim/4K/atarijaguar.png
atarijaguarcd,default,https://cdn.jsdelivr.net/gh/CkauNui/ckau-book-addons-Colorful-4K-Images@main/ckau-book-addons/_inc/anim/4K/atarijaguarcd.png,https://raw.githubusercontent.com/CkauNui/ckau-book-addons-Colorful-4K-Images/main/ckau-book-addons/_inc/anim/4K/atarijaguarcd.png
atarilynx,default,https://cdn.jsdelivr.net/gh/CkauNui/ckau-book-addons-Colorful-4K-Images@main/ckau-book-addons/_inc/anim/4K/atarilynx.png,https://raw.githubusercontent.com/CkauNui/ckau-book-addons-Colorful-4K-Images/main/ckau-book-addons/_inc/anim/4K/atarilynx.png
atarist,default,https://cdn.jsdelivr.net/gh/CkauNui/ckau-book-addons-Colorful-4K-Images@main/ckau-book-addons/_inc/anim/4K/atarist.png,https://raw.githubusercontent.com/CkauNui/ckau-book-addons-Colorful-4K-Images/main/ckau-book-addons/_inc/anim/4K/atarist.png
atom,default,https://cdn.jsdelivr.net/gh/CkauNui/ckau-book-addons-Colorful-4K-Images@main/ckau-book-addons/_inc/anim/4K/atom.png,https://raw.githubusercontent.com/CkauNui/ckau-book-addons-Colorful-4K-Images/main/ckau-book-addons/_inc/anim/4K/atom.png
atomiswave,default,https://cdn.jsdelivr.net/gh/CkauNui/ckau-book-addons-Colorful-4K-Images@main/ckau-book-addons/_inc/anim/4K/atomiswave.png,https://raw.githubusercontent.com/CkauNui/ckau-book-addons-Colorful-4K-Images/main/ckau-book-addons/_inc/anim/4K/atomiswave.png
auto-action,default,https://cdn.jsdelivr.net/gh/CkauNui/ckau-book-addons-Colorful-4K-Images@main/ckau-book-addons/_inc/anim/4K/auto-action.png,https://raw.githubusercontent.com/CkauNui/ckau-book-addons-Colorful-4K-Images/main/ckau-book-addons/_inc/anim/4K/auto-action.png
auto-adventure,default,https://cdn.jsdelivr.net/gh/CkauNui/ckau-book-addons-Colorful-4K-Images@main/ckau-book-addons/_inc/anim/4K/auto-adventure.png,https://raw.githubusercontent.com/CkauNui/ckau-book-addons-Colorful-4K-Images/main/ckau-book-addons/_inc/anim/4K/auto-adventure.png
